ID,BAT_NAME,CTP_NAME,RA_hms,Dec_dms,z,logLx,Type,logNH,F70_mJy,eF70_mJy,F70_flag,F100_mJy,eF100_mJy,F100_flag,F160_mJy,eF160_mJy,F160_flag,F250_mJy,eF250_mJy,F250_flag,F350_mJy,eF350_mJy,F350_flag,F500_mJy,eF500_mJy,F500_flag
1,SWIFT J0900.9+2095,2MASX J09003684+2053402,09:00:36.864,+20:53:40.560,0.235,45.1,Sy2,,71.62,3.79,HPDP,53.98,4.19,HPDP,39.61,10.07,HPDP,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A
2,SWIFT J0508.1+1727,2MASXJ05081967+1721483,05:08:19.680,+17:21:46.800,0.017,43.2,Sy1.9,22.33,2265.97,157.88,HPDP,3105.46,221.24,HPDP,3313.94,127.05,HPDP,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A
3,SWIFT J0516.2-0009,Ark120,05:16:11.424,-00:08:59.280,0.032,44.2,Sy1,20.0,627.83,16.89,HPDP,0.0,0.0,N/A,1012.0,194.93,HPDP,565.99,28.3,Ext.,315.76,30.98,Ext.,108.7,13.9,HPDP
4,SWIFT J0138.6-4001,ESO297-18,01:38:37.152,-40:00:41.040,0.025,43.9,Sy2,23.83,668.01,37.27,Ext.,0.0,0.0,N/A,1939.47,79.6,Ext.,1280.13,45.99,Ext.,680.99,37.55,Ext.,232.99,20.87,Ext.
5,SWIFT J1306.4-4025A,ESO323-77,13:06:26.136,-40:24:52.560,0.015,43.1,Sy1.5,22.81,6814.31,127.0,HPDP,0.0,0.0,N/A,7087.19,244.47,HPDP,2857.6,45.0,HPDP,1135.6,42.94,Ext.,398.1,25.5,HPDP
6,SWIFT J0623.8-3215,ESO426-2,06:23:46.416,-32:12:59.760,0.022,43.4,Sy2,23.95,333.64,84.13,Ext.,0.0,0.0,N/A,0.0,0.0,N/A,496.83,43.64,Ext.,277.59,34.67,Ext.,0.0,0.0,N/A
7,SWIFT J0601.9-8636,ESO5-4,06:05:41.640,-86:37:54.840,0.006,42.4,Sy2,24.18,8882.76,277.08,Ext.,0.0,0.0,N/A,22291.49,694.52,Ext.,11297.73,341.64,Ext.,5104.31,159.47,Ext.,1986.71,68.13,Ext.
8,SWIFT J1238.9-2720,ESO506-27,12:38:54.600,-27:18:28.080,0.025,44.1,Sy2,23.95,657.55,104.09,Ext.,0.0,0.0,N/A,1781.32,168.65,Ext.,1117.38,44.04,Ext.,493.27,28.76,Ext.,183.68,19.49,Ext.
9,SWIFT J1419.0-2639,ESO511-30,14:19:22.416,-26:38:40.920,0.022,43.6,Sy1,20.0,682.82,136.33,Ext.,0.0,0.0,N/A,2420.86,139.17,Ext.,1883.65,74.6,Ext.,1141.32,51.43,Ext.,408.69,39.05,Ext.
10,SWIFT J0342.0-2115,ESO548-81,03:42:03.720,-21:14:39.840,0.014,43.2,Sy1.9,20.0,823.61,41.3,Ext.,0.0,0.0,N/A,1837.96,97.67,Ext.,790.15,31.8,Ext.,307.1,22.2,HPDP,115.4,24.5,HPDP
11,SWIFT J0402.4-1807,ESO549-49,04:02:25.680,-18:02:52.800,0.026,43.5,Sy1.9,22.48,3182.12,104.56,Ext.,0.0,0.0,N/A,4263.46,233.01,HPDP,1784.0,24.3,HPDP,753.4,23.5,HPDP,275.2,18.3,HPDP
12,SWIFT J1013.5-3601,Fairall1149,10:13:19.920,-35:58:57.720,0.028,43.6,Sy2,23.71,277.26,11.08,HPDP,0.0,0.0,N/A,571.31,85.98,Ext.,381.41,38.07,Ext.,225.8,26.85,Ext.,79.78,18.2,Ext.
